Sentence,Word,POS,Tag
0,Account,NOUN,O
,number,NOUN,O
,41649294,NUM,ANU-U
,Sort,NOUN,O
,code,NOUN,O
,05,NUM,SC-U
,-,PUNCT,SC-U
,06,NUM,SC-U
,-,PUNCT,SC-U
,43,NUM,SC-U
,Statement,PROPN,O
,date,NOUN,O
,01,NUM,FD-B
,Apr,PROPN,FD-I
,20,NUM,FD-L
,-,SYM,O
,30,NUM,TD-B
,Apr,PROPN,TD-I
,20,NUM,TD-L
,STANDARD,PROPN,AT-B
,BUSINESS,PROPN,AT-L
,ARCH,NOUN,AN-B
,GLOBAL,PROPN,AN-I
,UK,PROPN,AN-I
,LIMITED,VERB,AN-L
,23,NUM,AA-B
,DRAGOON,PROPN,AA-I
,ROAD,PROPN,AA-I
,",",PUNCT,AA-I
,COVENTRY,PROPN,AA-I
,",",PUNCT,AA-I
,CV3,PROPN,AA-I
,1PD,NUM,AA-L
1,Date,PROPN,O
,Description,PROPN,O
,Type,PROPN,O
,Debits,VERB,O
,Credits,NOUN,O
,Balance,NOUN,O
,01,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
2,Opening,PROPN,PDE-B
,Balance,PROPN,PDE-L
,£,PROPN,B-U
,8637.79,NUM,B-U
,01,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
,Rontec,PROPN,PDE-I
,Watford,PROPN,PDE-I
,",",PUNCT,PDE-I
,RONTEC,PROPN,PDE-I
,WATFORD,PROPN,PDE-I
,LTD,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,46.16,NUM,PI-U
,£,SYM,B-U
,8683.95,NUM,B-U
,01,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
3,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
,Rontec,PROPN,PDE-I
,Watford,PROPN,PDE-I
,",",PUNCT,PDE-I
,RONTEC,PROPN,PDE-I
,WATFORD,PROPN,PDE-I
,LTD,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,695.03,NUM,PI-U
,£,PROPN,B-U
,9378.98,NUM,B-U
4,01,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
,Rontec,PROPN,PDE-I
,Watford,PROPN,PDE-I
,",",PUNCT,PDE-I
,RONTEC,PROPN,PDE-I
,WATFORD,PROPN,PDE-I
,LTD,PROPN,PDE-L
5,Transfer,PROPN,PT-U
,£,SYM,PI-U
,3249.86,NUM,PI-U
,£,SYM,B-U
,12628.84,NUM,B-U
,01,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,Smiths,PROPN,PDE-B
,News,PROPN,PDE-I
,",",PUNCT,PDE-I
,260574,NUM,PDE-I
,3118908513,NUM,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,305.59,NUM,PO-U
,£,PROPN,B-U
,12323.25,NUM,B-U
,01,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,Tetrosyl,PROPN,PDE-B
,Ltd,PROPN,PDE-I
,",",PUNCT,PDE-I
,4740000,NUM,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,761.19,NUM,PO-U
,£,PROPN,B-U
,11562.06,NUM,B-U
,02,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
6,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
,Rontec,PROPN,PDE-I
,Watford,PROPN,PDE-I
,",",PUNCT,PDE-I
,RONTEC,PROPN,PDE-I
,WATFORD,PROPN,PDE-I
,LTD,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,1103.07,NUM,PI-U
,£,NOUN,B-U
,12665.13,NUM,B-U
7,03,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
,Rontec,PROPN,PDE-I
,Watford,PROPN,PDE-I
,",",PUNCT,PDE-I
,RONTEC,PROPN,PDE-I
,WATFORD,PROPN,PDE-I
,LTD,PROPN,PDE-L
8,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,124.53,NUM,PI-U
,£,PROPN,B-U
,12789.66,NUM,B-U
,06,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
,Arch,PROPN,PDE-I
,Global,PROPN,PDE-I
,",",PUNCT,PDE-I
,Rontec,PROPN,PDE-I
,DD,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,7500.00,NUM,PI-U
,£,SYM,B-U
,20289.66,NUM,B-U
,06,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,Uk,PROPN,PDE-B
,Fuels,PROPN,PDE-I
,Ltd,PROPN,PDE-I
,",",PUNCT,PDE-I
,01097148,NUM,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,23.44,NUM,PO-U
,£,SYM,B-U
,20266.22,NUM,B-U
,07,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
,Rontec,PROPN,PDE-I
,Watford,PROPN,PDE-I
,",",PUNCT,PDE-I
,RONTEC,PROPN,PDE-I
,WATFORD,PROPN,PDE-I
,LTD,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,1490.45,NUM,PI-U
9,£,SYM,B-U
,21756.67,NUM,B-U
,07,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
,Rontec,PROPN,PDE-I
,Watford,PROPN,PDE-I
,",",PUNCT,PDE-I
,RONTEC,PROPN,PDE-I
,WATFORD,PROPN,PDE-I
,LTD,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,2000.00,NUM,PI-U
,£,PROPN,B-U
,23756.67,NUM,B-U
,07,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,Rontec,PROPN,PDE-B
,",",PUNCT,PDE-B
,2002094,NUM,PDE-I
,2002094,NUM,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,21302.81,NUM,PO-U
,£,SYM,B-U
,2453.86,NUM,B-U
,08,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
,Rontec,PROPN,PDE-I
,Watford,PROPN,PDE-I
,",",PUNCT,PDE-I
,RONTEC,PROPN,PDE-I
,WATFORD,PROPN,PDE-I
,LTD,PROPN,PDE-L
,Transfer,PROPN,PT-U
,£,PROPN,PI-U
,2376.78,NUM,PI-U
,£,SYM,B-U
,4830.64,NUM,B-U
,08,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,Smiths,PROPN,PDE-B
,News,PROPN,PDE-I
,",",PUNCT,PDE-I
,260574,NUM,PDE-I
,3118922334,NUM,PDE-L
,Direct,PROPN,PT-B
,Debit,PROPN,PT-L
,£,PROPN,PO-U
,289.28,NUM,PO-U
10,£,SYM,B-U
,4541.36,NUM,B-U
,09,NUM,PDA-B
,Apr,PROPN,PDA-I
,20,NUM,PDA-L
,FPS,PROPN,PDE-B
,",",PUNCT,PDE-B
